CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B1900317000000;JOÃO ROCK 2019 - PITTY;TATIANA BRANCAGLION CORREA DA COSTA;BRASIL
B1900317100000;JOÃO ROCK 2019 - EMICIDA E RAEL;TATIANA BRANCAGLION CORREA DA COSTA;BRASIL
B1900317200000;JOÃO ROCK 2019 - RAIMUNDOS;TATIANA BRANCAGLION CORREA DA COSTA;BRASIL
B1900317300000;DIÁRIO DE SAQUAREMA;CLARA GOMES COSTA SANTOS;BRASIL
B1900317300000;DIÁRIO DE SAQUAREMA;LEONARDO RAMALHO BASSALO ANTUNES;BRASIL
B1900317300000;DIÁRIO DE SAQUAREMA;RAFAEL HOBBS CIANI;BRASIL
B1900318200000;SEI QUE VOCÊ QUER;ICARO SEBASTHIAN LIMA BRAVO;BRASIL
B1900318300000;BIVOLT - VISTA LOKA;IGOR BARBIZAN SELINGARDE;BRASIL
B1900318800000;NÃO LEMBRO DE NADA;JULIO CESAR MAY;BRASIL
B1900319000000;WOYA HAYI MAWE - PARA ONDE VAIS?;JASPER MORGAN CHALCRAFT;INGLATERRA
B1900319000000;WOYA HAYI MAWE - PARA ONDE VAIS?;ROSE SATIKO GITIRANA HIKIJI;BRASIL
B1900319200000;CRAQUES PARA SEMPRE;PEDRO ASBEG;BRASIL
B1900319300000;GALINHA PINTADINHA MINI: 2ª TEMPORADA;JULIANO PRADO;BRASIL
B1900319300000;GALINHA PINTADINHA MINI: 2ª TEMPORADA;MARCOS PATRIZZI LUPORINI;BRASIL
B1900319400000;PLANETA ATLÂNTIDA 2019 -  CLEAN BANDIT;GUILHERME LUIZ ZATTAR;BRASIL
B1900319500000;LUDIBRIUM;GLEISON MOTA DOS SANTOS;BRASIL
B1900319600000;SEMENTE DA MUSICA BRASILEIRA;PATRICIA TERRA;BRASIL
B1900319900000;TÃO PERTO;FELIPE CAMELO;BRASIL
B1900319900000;TÃO PERTO;GIULIANO LIMA HOFFMANN;BRASIL
B1900320200000;CAMINHOS DA APRENDIZAGEM;CARLOS ANDRE CONSTANTIN;BRASIL
B1900320300000;A MULHER DA LUZ PRÓPRIA;SINAI MELLO E SILVA SGANZERLA;BRASIL
B1900321600000;BANHO DE RIO;WILLY AUGUSTO DA CUNHA FRANCA;BRASIL
B1900321700000;AMANHECER - SELVA;FILIPE GUIMARAES NEVARES;BRASIL
B1900321800000;LIQUID VOICES - A HISTÓRIA DE MATHILDA SEGALESCU;JOCY MARIA CARVALHO DE OLIVEIRA DE CARVALHO;BRASIL
B1900321900000;TUDO EM QUE ACREDITAVA ANTES DE ENTRAR NO MAR;CARINA ROCHA DE MACEDO;BRASIL
B1900321900000;TUDO EM QUE ACREDITAVA ANTES DE ENTRAR NO MAR;FRANCISCO KULIGOWSKI CASELANI;BRASIL
B1900321900000;TUDO EM QUE ACREDITAVA ANTES DE ENTRAR NO MAR;LUCAS HEITOR BEAL SANT ANNA;BRASIL
B1900321900000;TUDO EM QUE ACREDITAVA ANTES DE ENTRAR NO MAR;MARCOS CHARLES PEREIRA DA SILVA BIRNFELD;BRASIL
B1900322000000;VIVIR ALLÍ NO ES EL INFIERNO ES EL FUEGO DEL DESIERTO.LA PLENITUD DE LA VIDA QUEDÓ AHÍ COMO UN ÁRBOL;JAVIERA ANDREA VELIZ FAJARDO;CHILE
B1900322100000;MEU TEMPO;FERNANDO CHAGAS PEREIRA FILHO;BRASIL
B1900322200000;SAMBA MÍNIMO;FERNANDO CHAGAS PEREIRA FILHO;BRASIL
B1900322300000;ENFORCADO PELA LÍNGUA;CIRO CAVALCANTI NUNES SANTOS;BRASIL
B1900322400000;CONTRASTO;JOVANI PROCHNOV SARTOR;BRASIL
B1900322600000;ANIMA MEA - ARTISTA;RODRIGO CESAR MADUREIRA;BRASIL
B1900322700000;LEI DA VIDA;ANDRE LUIZ DA COSTA LOUREIRO;BRASIL
B1900322800000;LAVANDO LOUÇA;ALEXANDRE STEHLING VIEIRA MARTINS;BRASIL
B1900322900000;CINEMA NA MÚSICA DE SÉRGIO RICARDO;PAULO HENRIQUE SILVEIRA FONTENELLE BIZERRIL;BRASIL
B1900323000000;EM MOVIMENTO;ALEXANDRE MAGNO MELLO DIAS;BRASIL
B1900323100000;MARÍLIA MENDONÇA - BEBI LIGUEI;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900323200000;MARÍLIA MENDONÇA - CIUMEIRA;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900323300000;MARÍLIA MENDONÇA - BEM PIOR QUE EU;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900323400000;MÁLAGMA - EDUARDO MACHADO;THALES VICENTE SANTOS PASSAGEM;BRASIL
B1900323500000;FOGO DE PALHA;MARIANA JASPE DE SOUZA OLIVEIRA;BRASIL
B1900323600000;VITOR E CADU - RODANDO BOCAS;AUGUSTO VIEIRA MELO NETO;BRASIL
B1900323700000;CURTA O SOM - 2ª TEMPORADA;LORRAINE CRISTINA LOPES SANTONI;BRASIL
B1900323900000;BRASIL SÉCULO XXI;MARCOS DE SOUZA FARIAS;BRASIL
B1900328100000;FRAGMENTOS DA VIDA;CLAUDIO FACIO;BRASIL
B1900328100000;FRAGMENTOS DA VIDA;EDUARDO NASCIMENTO DA SILVA;BRASIL
B1900328100000;FRAGMENTOS DA VIDA;WANDERSON CARVALHO SILVA;BRASIL
B1900328200000;A MÃE BARBADA;MATHEUS HENRIQUE MORELATTO;BRASIL
B1900328300000;MOVIMENTO NEGRO EVANGÉLICO;MARIA LUCIA DUARTE DE OLIVEIRA;BRASIL
B1900329000000;CAMINHOS DIFERENTES;JOAO ALVES TAIOBA;BRASIL
B1900329000000;CAMINHOS DIFERENTES;MARIO SANTANA DA SILVA;BRASIL
B1900329000000;CAMINHOS DIFERENTES;MATHEUS HENRIQUE MORELATTO;BRASIL
B1900329000000;CAMINHOS DIFERENTES;VALMIR DOS SANTOS LEMOS;BRASIL
B1900329100000;COZINHEIRO VS CHEFS 3ª TEMPORADA;CRISTIANA DE SOUZA GOMES;BRASIL
B1900329100000;COZINHEIRO VS CHEFS 3ª TEMPORADA;GUILHERME DIMETRE FERNANDES ARRUDA;BRASIL
B1900329100000;COZINHEIRO VS CHEFS 3ª TEMPORADA;ROBERTO MIRANDA MORET CORREA;BRASIL
B1900329600000;SE TOCA NO TREINO - 2A TEMPORADA;ARCELINO BATISTA DOS SANTOS;BRASIL
B1900330700000;TERRA DE NAZARÉ;SHAYNNA JACQUES PIDORI;BRASIL
B1900331000000;SELVAGEM;VICTORIA VISCO MENDONCA;BRASIL
B1900331100000;QUANDO A CHUVA VEM?;JEFFERSON BATISTA DE ANDRADE;BRASIL
B1900331200000;A PROCURA DE UMA SAÍDA;MATHEUS HENRIQUE MORELATTO;BRASIL
B1900331400000;PADARIA ARTESANAL;CLODOALDO DE CAMPOS MELO SOBRINHO;BRASIL
B1900331500000;TECNORUA;MICHEL CRISTIANO MONTEIRO;BRASIL
B1900331600000;SE ARREPENDIMENTO MATASSE;LILIA MOEMA REZENDE SANTANA;BRASIL
B1900331700000;TIANA;ANDERSON E SILVA AGUIAR PEREIRA;BRASIL
B1900331800000;A ONDA DA PEDRA D'ÁGUA;CAIO CEZAR DE MELLO ANTUNES;BRASIL
B1900331800000;A ONDA DA PEDRA D'ÁGUA;LAURENT CEGLIA REFALO;BRASIL
B1900331900000;LÂMPADA PARA MEUS PÉS;MICHELLY BATISTA DA SILVA;BRASIL
B1900332100000;CONGO BLUE - SIMPLESMENTE ASSIM;YGOR AUGUSTO DE OLIVEIRA SILVA;BRASIL
B1900332300000;RIO DE VOZES;ANDREA MARIA SOBREIRA DE SANTANA;BRASIL
B1900332300000;RIO DE VOZES;JEAN PIERRE DURET;FRANÇA
B1900335700000;ODE A NUDEZ;DIEGO GUSTAVO LOCATELLI VIDELA;BRASIL
B1900335800000;EU SÓ PRECISO DE AMOR;RONALDO JORGE DA SILVA;BRASIL
B1900335900000;ZINCO;BERNARDO DE ALMEIDA RIBEIRO SILVINO;BRASIL
B1900336000000;RAPHAEL OTA - ENFIM DESPERTEI;GUSTAVO RAMON ORTIZ;BRASIL
B1900336100000;DESAFIO DE TALENTOS;JULIANA DE MENDONCA VONLANTEN;BRASIL
B1900336300000;RECICLAGEM;HAROLDO CESAR DE CASTRO SILVA;BRASIL
B1900336400000;LUGAR ALGUM;GABRIEL FARIA DO AMARAL;BRASIL
B1900336500000;SEU AMOR DE VOLTA (MESMO QUE ELE NÃO QUEIRA);BERTRAND DE SOUZA LIRA;BRASIL
B1900336600000;FAIXA DE GAZA;LUCIO CESAR FERNANDES MURILO;BRASIL
B1900337000000;+FIT;RAMIRO PAIVA DE AZEVEDO;BRASIL
B1900337100000;TRAVESSIA;ELEN LINTH MARQUES DANTAS;BRASIL
B1900337100000;TRAVESSIA;RIANE BARBOSA DO NASCIMENTO;BRASIL
B1900337200000;SE ESSA ROUPA FOSSE MINHA;ISABEL MELLO DO NASCIMENTO E SILVA;BRASIL
B1900337300000;PASSARINHAS MULHERES INSPIRADORAS;BRUNO LIMA XAVIER;BRASIL
B1900337300000;PASSARINHAS MULHERES INSPIRADORAS;ROGER QUENTIN PIRES;BRASIL
B1900337300000;PASSARINHAS MULHERES INSPIRADORAS;YARGO SOUSA GURJAO;BRASIL
B1900337400000;JORNAL CARANDIRU;ANDRESSA ALINE APARECIDA COUTINHO DA SILVA;BRASIL
B1900337400000;JORNAL CARANDIRU;VALDIVIA DE OLIVEIRA PORTO;BRASIL
B1900337500000;OODAL;CAUE TARNOWSKI SOARES;BRASIL
B1900339300000;SELVA DE PEDRA;DENNIS DE CARVALHO;BRASIL
B1900339300000;SELVA DE PEDRA;JOSE CARLOS SARMENTO PIERI;BRASIL
B1900339300000;SELVA DE PEDRA;NUNCIATO WALTER AVANCINI;BRASIL
B1900339300000;SELVA DE PEDRA;RICARDO CAPILLE WADDINGTON;BRASIL
B1900339400000;TÔ DE GRAÇA - 3ª TEMPORADA;MARCO RODRIGO AGUIAR DA SILVA;BRASIL
B1900339800000;ANOTA AÍ - 6ª TEMPORADA;PABLO URANGA;ARGENTINA
B1900339800000;ANOTA AÍ - 6ª TEMPORADA;PAULA VASCONCELOS BUARQUE;BRASIL
B1900339900000;BRALIH- VICIAR EM VOCÊ;JORGE LUIS MARTINS NASSARALLA;BRASIL
B1900339900000;BRALIH- VICIAR EM VOCÊ;RODRIGO CUNHA DO NASCIMENTO;BRASIL
B1900340000000;TECNOPOP;ALEXANDRE SANTOS SILVA;BRASIL
B1900340000000;TECNOPOP;CLODOALDO DE CAMPOS MELO SOBRINHO;BRASIL
B1900340000000;TECNOPOP;JOAO ALVES TAIOBA;BRASIL
B1900340100000;PARADISE SESSIONS - CAMINHO (CLIPE OFICIAL);JORGE EDUARDO VOLKMER JUNIOR;BRASIL
B1900340200000;NÓS;DARIO ERNESTO GULARTE WEGBRAIT;BRASIL
B1900340200000;NÓS;FABIO BRANDAO MOURA;BRASIL
B1900340300000;POR ALGUM INSTANTE;FELIPE MOSTERT DO NASCIMENTO;BRASIL
B1900340300000;POR ALGUM INSTANTE;JOEL BARBOSA MALVARES FILHO;BRASIL
B1900340400000;SUPER FIGHT - 1ª TEMPORADA;ADRIANO SCHMIDT;BRASIL
B1900340400000;SUPER FIGHT - 1ª TEMPORADA;FABRICIO PIRES BITTAR DE CARVALHO;BRASIL
B1900340900000;VOANDO NOS LENÇÓIS MARANHENSES;PEDRO SERGIO FERREIRA DIAS;BRASIL
B1900340900000;VOANDO NOS LENÇÓIS MARANHENSES;RODRIGO SELVA QUEIROZ;BRASIL
B1900341300000;RETRANCA;DANIELA CAROLINE SANDALO LIBARDI;BRASIL
B1900341400000;MUNDO DE BALÕES;JUAN CARLO CASSOLA;BRASIL
B1900341400000;MUNDO DE BALÕES;VASJAN LENO;BRASIL
B1900341800000;MAIS COR POR FAVOR - 5ª TEMPORADA;LIGIA APARECIDA FELICIANO;BRASIL
B1900341900000;MÚSICA PARA MORRER DE AMOR;RAFAEL ESTEVES CANDIDO GOMES;BRASIL
B1900342000000;ALÉM DA CONTA - TEM WI-FI? - 6ª TEMPORADA;AUGUSTO BARRA DO AMARAL;BRASIL
B1900342000000;ALÉM DA CONTA - TEM WI-FI? - 6ª TEMPORADA;RAPHAEL ALVAREZ FERREIRA;BRASIL
B1900342000000;ALÉM DA CONTA - TEM WI-FI? - 6ª TEMPORADA;TATIANA DUARTE ISSA;BRASIL
B1900342100000;COZINHEIROS EM AÇÃO - 7ª TEMPORADA;MARIA EUGENIA RUGGERI PASTORINO;BRASIL
B1900342100000;COZINHEIROS EM AÇÃO - 7ª TEMPORADA;ROBERTO HELENE DAVILA;BRASIL
B1900342500000;MEET JOE;JOSE PEDRO FEDRIZZI;BRASIL
B1900342600000;PROGRAMA AÇÃO LITORAL;CASSIO ANGELO RODRIGUES PETRECA;BRASIL
B1900343000000;MEU BEM;PRISCILLA DA SILVA ROCHA;BRASIL
B1900343100000;LUAN SANTANA - QUANDO A BAD BATER;JOANA SALLES MAZZUCCHELLI;BRASIL
B1900343200000;EU VOU DEIXAR VOCÊ;LUIZ FERNANDO RODRIGUES DE SOUSA;BRASIL
B1900343500000;COMO NOSSOS ÍDOLOS - 1° TEMPORADA;DANIEL FERRO DA SILVA;BRASIL
B1900343600000;QUE HISTÓRIA É ESSA, PORCHAT? - 1ª TEMPORADA;MAURICIO AMARO DA SILVA ARRUDA;BRASIL
B1900343700000;THE GREAT BAKE OFF 5;LUCAS MENDONCA GENTIL;BRASIL
B1900343800000;O RIO FEITICEIRO;ALEXANDRE SILVEIRA MALTA ALENCAR;BRASIL
B1900343900000;AUTÊNTICAS - 2ª TEMPORADA;FABIO JOSE DE MELO;BRASIL
B1900343900000;AUTÊNTICAS - 2ª TEMPORADA;JOANA SALLES MAZZUCCHELLI;BRASIL
B1900344100000;NASCIDOS PARA O COMBATE - QUARTA TEMPORADA;DANIEL JOSE RIBEIRO BILLIO;BRASIL
B1900344100000;NASCIDOS PARA O COMBATE - QUARTA TEMPORADA;RODRIGO ADOLFO VEIRANO ASTIZ;BRASIL
B1900344200000;ROCK NA PRAÇA 15 ANOS;FABRICIO KOLTERMANN;BRASIL
B1900344300000;SE DESISTIREM DE VOCÊ;MARCELO RUBIANO CAVALIERI;BRASIL
B1900344400000;EU, PRESO ;PAULA MASCARENHAS CAMARGOS SACCHETTA;BRASIL
B1900344600000;CAUSA E EFEITO;LUIZ CAMPANA JUNIOR;BRASIL
B1900344700000;SEDUÇÃO DA CARNE;JULIO EDUARDO BRESSANE DE AZEVEDO;BRASIL
B1900344800000;VEM VER O SOL;JAMES LIMA DE CASTRO;BRASIL
B1900344900000;AMIGAS TRANS;CLAUDIO FACIO;BRASIL
B1900344900000;AMIGAS TRANS;DIEGO DA CONCEICAO SILVA;BRASIL
B1900344900000;AMIGAS TRANS;JEFFERSON FERNANDO DE ARAUJO LIMA;BRASIL
B1900344900000;AMIGAS TRANS;JONATHAN RICARDO SANTANA DE OLIVEIRA;BRASIL
B1900344900000;AMIGAS TRANS;MARCIO NASCIMENTO SILVA;BRASIL
B1900344900000;AMIGAS TRANS;ONOFRE RODRIGUES DA SILVA;BRASIL
B1900345000000;SUPERBONITA - 21ª TEMPORADA;SUSANA MARA DA SILVA LIRA;BRASIL
B1900345100000;FAZENDO A FESTA - 7ª TEMPORADA;MARIA JOANA ANTUNES LESSA;BRASIL
B1900345200000;TRUQUES DE COZINHA;IVANA WERNER DE OLIVEIRA;BRASIL
B1900345300000;O CALENDÁRIO;VALDECIR ROCHA DE ALMEIDA;BRASIL
B1900345400000;HELENA HELENA;PEDRO VIEIRA RODRIGUES DA SILVA;BRASIL
B1900345500000;TRANSAMAZÔNICA - UMA ESTRADA PARA O PASSADO;FABIANO MACIEL;BRASIL
B1900345500000;TRANSAMAZÔNICA - UMA ESTRADA PARA O PASSADO;GUILHERME VALIENGO;BRASIL
B1900345500000;TRANSAMAZÔNICA - UMA ESTRADA PARA O PASSADO;JORGE ROBERTO BODANZKY;BRASIL
B1900345600000;ARLEQUIM;BEATRIZ BUGOV BRAZ;BRASIL
B1900345600000;ARLEQUIM;MATHEUS DE ALMEIDA MAGALHAES;BRASIL
B1900345700000;ESCOLHAS;ADRIANA PAULINI LEAO;BRASIL
B1900345800000;CHOICES;ADRIANA PAULINI LEAO;BRASIL
B1900345900000;DEVANEIOS;ADRIANA PAULINI LEAO;BRASIL
B1900346000000;ESPECIAL MIDEM LATIN AMERICAN FORUM;ROBERTO PIMENTEL PONTES;BRASIL
B1900346100000;SALVE ÁFRICA;NATHAN RODRIGUES SURIS;BRASIL
B1900346200000;INVESTIGADORES DA HISTÓRIA;LUIZ ANTONIO CARNEIRO RANGEL DE CASTRO;BRASIL
B1900346300000;SOU TCHÊ;FRANCISCO MACHADO PEREIRA;BRASIL
B1900346700000;MEU PAI ADONAI;LUIZ FERNANDO FERNANDES MACHADO;BRASIL
B1900346800000;O MÁGICO E O ROCAMBOLE;LUIZ FERNANDO FERNANDES MACHADO;BRASIL
B1900347000000;LAVOISIER TINHA RAZÃO;GERSSON SALINAS LOPEZ;BOLÍVIA
B1900347000000;LAVOISIER TINHA RAZÃO;LUIZ FERNANDO FERNANDES MACHADO;BRASIL
B1900347100000;BOM SUCESSO;ANA PAULA DA CUNHA GUIMARAES;BRASIL
B1900347100000;BOM SUCESSO;DAYSE CRISTINA AMARAL DIAS;BRASIL
B1900347100000;BOM SUCESSO;JEFERSON RODRIGUES DE REZENDE;BRASIL
B1900347100000;BOM SUCESSO;JOANA DE MENDONCA CLARK MAFRA ALVES;BRASIL
B1900347100000;BOM SUCESSO;LUIS FELIPE PIMENTEL DE SA;BRASIL
B1900347100000;BOM SUCESSO;MARCUS VINICIUS MIRANDA FIGUEIREDO;BRASIL
B1900347200000;VIDEOCASE SOBRE A LISTA DE VERIFICAÇÃO DO PARTO SEGURO: SENSIBILIZAÇÃO DOS PROFISSIONAIS DA SAÚDE ;ALINE MIZUSAKI IMOTO;BRASIL
B1900347200000;VIDEOCASE SOBRE A LISTA DE VERIFICAÇÃO DO PARTO SEGURO: SENSIBILIZAÇÃO DOS PROFISSIONAIS DA SAÚDE ;ARLETE RODRIGUES CHAGAS DA COSTA;BRASIL
B1900347200000;VIDEOCASE SOBRE A LISTA DE VERIFICAÇÃO DO PARTO SEGURO: SENSIBILIZAÇÃO DOS PROFISSIONAIS DA SAÚDE ;LEILA BERNARDA DONATO GOTTEMS;BRASIL
B1900347300000;NO RETRATO;MARCIO DA SILVA MOREIRA;BRASIL
B1900347500000;DOA AÇÃO;ERICO ANTONIO GINEZ;BRASIL
B1900347600000;AMBIENTE FAMILIAR ;TORQUATO JOEL DE LIMA;BRASIL
B1900347700000;SAIR DO ARMÁRIO;MARINA PONTES;BRASIL
B1900347800000;PIEDADE;CLAUDIO DE ASSIS FERREIRA;BRASIL
B1900347900000;FÉRIAS EM FAMÍLIA - 1ª TEMPORADA;AUGUSTO BARRA DO AMARAL;BRASIL
B1900347900000;FÉRIAS EM FAMÍLIA - 1ª TEMPORADA;PABLO URANGA;ARGENTINA
B1900347900000;FÉRIAS EM FAMÍLIA - 1ª TEMPORADA;TATIANA DUARTE ISSA;BRASIL
B1900348000000;AQUECIMENTO ROCK IN RIO - 1° TEMPORADA;DANIEL FERRO DA SILVA;BRASIL
B1900348500000;PROGRAMA A MELHOR VIAGEM;MARIO LUIS FRIAS;BRASIL
B1900348600000;BAILE;CINTIA DOMIT BITTAR;BRASIL
B1900348800000;PICO DE ADRENALINA;CAUE TARNOWSKI SOARES;BRASIL
B1900349200000;TOW-IN EM ISLA PANCHA;EVERALDO TEIXEIRA;BRASIL
B1900349300000;GIG - A UBERIZAÇÃO DO TRABALHO;CARLOS JULIANO MARCONDES E FERREIRA DE TOLEDO BARROS;BRASIL
B1900349300000;GIG - A UBERIZAÇÃO DO TRABALHO;CAUE ANGELI RAMOS;BRASIL
B1900349300000;GIG - A UBERIZAÇÃO DO TRABALHO;MAURICIO ERACLITO MONTEIRO FILHO;BRASIL
B1900349700000;JUMPIN' JACK FLASH;PEDRO GONZALEZ MONTENEGRO BARBOSA;BRASIL
B1900349800000;À MARGEM DAS TORRES;NILTON JOSE APOLINARIO FILHO;BRASIL
B1900350000000;CÔNEGO CAVALLINI: UM SÓ CORAÇÃO;JOSE CARLOS SARTORI;BRASIL
B1900350100000;PRÁTICAS DO ABSURDO;ALEXANDER DOS SANTOS BUCK;BRASIL
B1900350200000;IN ILLO TEMPORE;LUCAS MONACHESI RODRIGUES;BRASIL
B1900350300000;MATUTINHA;FRANCISCO MASCARENHAS KERTESZ;BRASIL
B1900350300000;MATUTINHA;JANAINA LEITE AGUIAR;BRASIL
B1900350400000;SAUDADE DE VOCÊ;FRANCISCO MASCARENHAS KERTESZ;BRASIL
B1900350500000;A CAIXA;RENATA KAO JESION;BRASIL
B1900350600000;PARQUE OESTE;FABIANA DE OLIVEIRA ASSIS;BRASIL
B1900350700000;ESPERO TUA (RE)VOLTA;ELIZA RIBEIRO CAPAI;BRASIL
B1900350800000;CANHOTAS;LUIS NACHBIN;BRASIL
B1900350900000;BALANGAY: NAS ÁGUAS FILIPINAS;SYLVESTRE PETER JOACHIN CAMPE;BRASIL
B1900351000000;REBOLA SEM PRESSA;PLINIO RICARDO DE OLIVEIRA SOUZA;BRASIL
B1900351100000;DOIS CARAS NUMA MOTO;PLINIO RICARDO DE OLIVEIRA SOUZA;BRASIL
B1900351200000;DEVOLVE MEU LOVE;PLINIO RICARDO DE OLIVEIRA SOUZA;BRASIL
B1900351300000;NÃO ME DEIXA MOR;PLINIO RICARDO DE OLIVEIRA SOUZA;BRASIL
B1900351400000;LOVEZINHO;PLINIO RICARDO DE OLIVEIRA SOUZA;BRASIL
B1900351500000;PÉZIN NA RUA;PLINIO RICARDO DE OLIVEIRA SOUZA;BRASIL
B1900351800000;GAIA - A VIAGEM DE PULCINELLA NA AMAZÔNIA;CARLOS ANDRE CONSTANTIN;BRASIL
B1900352100000;A PROFUNDIDADE DA AREIA;HUGO LEONARDO CASTILHOS DOS REIS;BRASIL
B1900352200000;STARDUST;PAULO NEMITZ ALCARAZ GOMES;BRASIL
B1900352400000;MAGLORE - ME DEIXA LEGAL (AO VIVO);RODRIGO CUNHA DO NASCIMENTO;BRASIL
B1900352500000;PITTY - NINGUÉM É DE NINGUÉM;FERNANDO CAIQUE MENCOCINI PEREIRA;BRASIL
B1900352700000;NADILA - CHAMA O UBER;KENNY CANTERINI KANASHIRO;BRASIL
B1900352800000;PEDRO BLUM - PÁGINA EM BRANCO;JORDANA FUHRMANN PIRES;BRASIL
B1900352800000;PEDRO BLUM - PÁGINA EM BRANCO;TONY SILVA DOS SANTOS;BRASIL
B1900352900000;DA NASCENTE À FOZ;HIDALGO ROMERO LOPES;BRASIL
B1900352900000;DA NASCENTE À FOZ;RICARDO MOLLAN SAITO;BRASIL
B1900353000000;ESGUICHO;CARLA DA SILVA MIGUELOTE;BRASIL
B1900353600000;PLANETA FÁBRICA;JULIA ZAKIA ORLANDI;BRASIL
B1900353800000;RÃ;ANA FLAVIA CAVALCANTI RIBEIRO;BRASIL
B1900353800000;RÃ;JULIA ZAKIA ORLANDI;BRASIL
B1900353900000;LÉSBICA;MARINA PONTES;BRASIL
B1900354000000;IMATERIAL;FELIPE SANTIAGO RODRIGUEZ LOPEZ;BRASIL
B1900354000000;IMATERIAL;RICARDO SHINJI DE ABREU SHIOZAKI;BRASIL
B1900354300000;NADA A PERDER 2;ALEXANDRE DA ROSA AVANCINI;BRASIL
B1900354500000;MARÍLIA MENDONÇA - ESTRANHO;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900354600000;MARÍLIA MENDONÇA - AUSÊNCIA;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900354700000;MARILIA MENDONÇA FEAT. MAIARA E MARAISA - A CULPA É DELE;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900354800000;MARÍLIA MENDONÇA - PARECE NAMORO;LUIZ FERNANDO TREVISAN FERREIRA;BRASIL
B1900354800000;MARÍLIA MENDONÇA - PARECE NAMORO;WANDER DIVINO DE OLIVEIRA;BRASIL
B1900354900000;TRIPOFOBIA;ANDRE JUAREZ TELLES PAROLIN;BRASIL
B1900355000000;CLIPE BARBRA MENDES RECALQUES;JOSE OLIVIO JUNIOR;BRASIL
B1900355100000;NICOTINE;DEIVIDE LEME DA SILVA;BRASIL
B1900355100000;NICOTINE;SUELI DE OLIVEIRA CARVALHO PEREIRA;BRASIL
B1900355200000;PLUTÃO JÁ FOI PLANETA - PRA GENTE SER FELIZ;DENNIS DE SOUZA SIQUEIRA;BRASIL
B1900355200000;PLUTÃO JÁ FOI PLANETA - PRA GENTE SER FELIZ;PALOMA BERTISSOLLI MILANEZ;BRASIL
B1900355300000;O MAR TRANSFORMA;DIEGO FERNANDES HONORIO DE OLIVEIRA;BRASIL
B1900355400000;CAPITÃO DA MINHA INFÂNCIA;GUILHERME PAGANINI DE SOUZA OLIVEIRA;BRASIL
B1900355500000;DIZ QUE É VERDADE;CLARYSSA CHRISTINA FIGUEIREDO DE ALMEIDA;BRASIL
B1900355500000;DIZ QUE É VERDADE;PEDRO IANNI DUQUE ESTRADA;BRASIL
B1900355700000;CHOQUE;VLADIMIR PEREIRA SEIXAS;BRASIL
B1900356100000;QUANTO TEMPO DEMORA UM MÊS (COM MATHEUS E KAUAN).;CARLOS AUGUSTO PEREIRA COELHO;BRASIL
B1900356200000;LUA - GABRIEL FRANCIS;GABRIEL FRANCISCO TEIXEIRA;BRASIL
B1900356300000;MATHEUS WHO - DEEPLY (CLIPE OFICIAL);MATHEUS FONSECA DA COSTA;BRASIL
B1900356400000;JE VOUS AIME, MARIE;LEANDRO TABOSA DO NASCIMENTO;BRASIL
B1900356700000;ATRÁS DA PORTA;VLADIMIR PEREIRA SEIXAS;BRASIL
B1900356800000;À SOMBRA DA MARQUISE;VLADIMIR PEREIRA SEIXAS;BRASIL
B1900356900000;DOWN BY THE RIVER;LUCIANA LOIS NOVIS ZOGBI;BRASIL
B1900357000000;CORAÇÃO DE AÇO;FABIO LUIZ FORASTIERI;BRASIL
B1900357100000;FABIO DELLA (RE-UNI AO VIVO 2019);FABIO DELLA GIUSTINA;BRASIL
B1900357200000;ISSO AQUI É FLAMENGO;LUCAS ALVES DE SOUZA;BRASIL
B1900357400000;CABEÇA DE RUA;ANGELICA LOURENCO DE ALMEIDA;BRASIL
B1900357500000;COLMEIA;KARINNA CLARO DE SIMONE;BRASIL
B1900357600000;ENTRE;VLADIMIR PEREIRA SEIXAS;BRASIL
B1900357700000;ILUMINA O MUNDO - DETONAUTAS FT. PELÉ MILFLOWS | ASIGLA;EVERTON SILVEIRA DE ANDRADE;BRASIL
B1900357700000;ILUMINA O MUNDO - DETONAUTAS FT. PELÉ MILFLOWS | ASIGLA;VINICIUS DE BARROS GONCALVES;BRASIL
B1900357800000;LUAN SANTANA - VIVA;GUILHERME AUGUSTO FERNANDES DALZOTO;BRASIL
B1900357800000;LUAN SANTANA - VIVA;JOANA SALLES MAZZUCCHELLI;BRASIL
B1900357800000;LUAN SANTANA - VIVA;LUAN RAFAEL DOMINGOS SANTANA;BRASIL
B1900357900000;DIZ A ELA QUE ME VIU CHORAR;MAIRA SANTI BUHLER;BRASIL
B1900358100000;SABORES DO TEMPLO - A SIMPLICIDADE DA CURA;LYGIA MARIA BARBOSA DA SILVA;BRASIL
B1900358200000;MARVEL TRASH;FABIO DE SOUZA GOMES;BRASIL
B1900358400000;VINGADORES: A ORIGEM;THIAGO ROMARIZ APOLINARIO;BRASIL
B1900358500000;CARTAS;ANNA CAROLINA SILVA RAMOS MAUES;BRASIL
